year,sex,bin_index,pop,lower,upper,label,CRS_relevant
2032,F,1,586564,0,0,0,FALSE
2032,F,2,585410,1,1,1,FALSE
2032,F,3,584525,2,2,2,FALSE
2032,F,4,583714,3,3,3,FALSE
2032,F,5,582819,4,4,4,FALSE
2032,F,6,581824,5,5,5,FALSE
2032,F,7,580821,6,6,6,FALSE
2032,F,8,579841,7,7,7,FALSE
2032,F,9,577486,8,8,8,FALSE
2032,F,10,575488,9,9,9,FALSE
2032,F,11,600549,10,10,10,FALSE
2032,F,12,613201,11,11,11,FALSE
2032,F,13,593754,12,12,12,FALSE
2032,F,14,575184,13,13,13,FALSE
2032,F,15,551462,14,14,14,FALSE
2032,F,16,2642337,15,19,15-19,TRUE
2032,F,17,2879529,20,24,20-24,TRUE
2032,F,18,2727003,25,29,25-29,TRUE
2032,F,19,2600450,30,34,30-34,TRUE
2032,F,20,2771942,35,39,35-39,TRUE
2032,F,21,2723088,40,44,40-44,TRUE
2032,F,22,2475061,45,49,45-49,FALSE
2032,F,23,2001030,50,54,50-54,FALSE
2032,F,24,1565205,55,59,55-59,FALSE
2032,F,25,1342779,60,64,60-64,FALSE
2032,F,26,1160432,65,69,65-69,FALSE
2032,F,27,941781,70,74,70-74,FALSE
2032,F,28,1318323,75,Inf,75+,FALSE
2032,M,1,606103,0,0,0,FALSE
2032,M,2,603934,1,1,1,FALSE
2032,M,3,602222,2,2,2,FALSE
2032,M,4,600739,3,3,3,FALSE
2032,M,5,599315,4,4,4,FALSE
2032,M,6,597900,5,5,5,FALSE
2032,M,7,596490,6,6,6,FALSE
2032,M,8,595164,7,7,7,FALSE
2032,M,9,592833,8,8,8,FALSE
2032,M,10,590944,9,9,9,FALSE
2032,M,11,606271,10,10,10,FALSE
2032,M,12,610067,11,11,11,FALSE
2032,M,13,591439,12,12,12,FALSE
2032,M,14,573577,13,13,13,FALSE
2032,M,15,550981,14,14,14,FALSE
2032,M,16,2646765,15,19,15-19,TRUE
2032,M,17,2888666,20,24,20-24,TRUE
2032,M,18,2735634,25,29,25-29,TRUE
2032,M,19,2582824,30,34,30-34,TRUE
2032,M,20,2648170,35,39,35-39,TRUE
2032,M,21,2608981,40,44,40-44,TRUE
2032,M,22,2369204,45,49,45-49,FALSE
2032,M,23,1897557,50,54,50-54,FALSE
2032,M,24,1374146,55,59,55-59,FALSE
2032,M,25,1055856,60,64,60-64,FALSE
2032,M,26,813880,65,69,65-69,FALSE
2032,M,27,617349,70,74,70-74,FALSE
2032,M,28,712218,75,Inf,75+,FALSE
2033,F,1,587687,0,0,0,FALSE
2033,F,2,586566,1,1,1,FALSE
2033,F,3,585880,2,2,2,FALSE
2033,F,4,585324,3,3,3,FALSE
2033,F,5,584665,4,4,4,FALSE
2033,F,6,583817,5,5,5,FALSE
2033,F,7,582812,6,6,6,FALSE
2033,F,8,581764,7,7,7,FALSE
2033,F,9,580723,8,8,8,FALSE
2033,F,10,578298,9,9,9,FALSE
2033,F,11,576226,10,10,10,FALSE
2033,F,12,601201,11,11,11,FALSE
2033,F,13,613765,12,12,12,FALSE
2033,F,14,594237,13,13,13,FALSE
2033,F,15,575611,14,14,14,FALSE
2033,F,16,2667868,15,19,15-19,TRUE
2033,F,17,2867530,20,24,20-24,TRUE
2033,F,18,2812461,25,29,25-29,TRUE
2033,F,19,2560183,30,34,30-34,TRUE
2033,F,20,2733227,35,39,35-39,TRUE
2033,F,21,2738613,40,44,40-44,TRUE
2033,F,22,2522394,45,49,45-49,FALSE
2033,F,23,2087776,50,54,50-54,FALSE
2033,F,24,1612730,55,59,55-59,FALSE
2033,F,25,1361645,60,64,60-64,FALSE
2033,F,26,1164712,65,69,65-69,FALSE
2033,F,27,963346,70,74,70-74,FALSE
2033,F,28,1377706,75,Inf,75+,FALSE
2033,M,1,607312,0,0,0,FALSE
2033,M,2,605110,1,1,1,FALSE
2033,M,3,603553,2,2,2,FALSE
