year,sex,age,mu
2031,M,86,0.12788205624167376
2031,M,87,0.12788205624167376
2031,M,88,0.12788205624167376
2031,M,89,0.12788205624167376
2031,M,90,0.169044696679123
2031,M,91,0.169044696679123
2031,M,92,0.169044696679123
2031,M,93,0.169044696679123
2031,M,94,0.169044696679123
2031,M,95,0.2228301982849506
2031,M,96,0.2228301982849506
2031,M,97,0.2228301982849506
2031,M,98,0.2228301982849506
2031,M,99,0.2228301982849506
2031,M,100,0.2228301982849506
2032,F,0,0.016889548832326955
2032,F,1,0.0015581505944356829
2032,F,2,0.0015581505944356829
2032,F,3,0.0015581505944356829
2032,F,4,0.0015581505944356829
2032,F,5,3.4149938870917514e-4
2032,F,6,3.4149938870917514e-4
2032,F,7,3.4149938870917514e-4
2032,F,8,3.4149938870917514e-4
2032,F,9,3.4149938870917514e-4
2032,F,10,3.863008307495732e-4
2032,F,11,3.863008307495732e-4
2032,F,12,3.863008307495732e-4
2032,F,13,3.863008307495732e-4
2032,F,14,3.863008307495732e-4
2032,F,15,8.632603685599035e-4
2032,F,16,8.632603685599035e-4
2032,F,17,8.632603685599035e-4
2032,F,18,8.632603685599035e-4
2032,F,19,8.632603685599035e-4
2032,F,20,0.0014748929293751426
2032,F,21,0.0014748929293751426
2032,F,22,0.0014748929293751426
2032,F,23,0.0014748929293751426
2032,F,24,0.0014748929293751426
2032,F,25,0.0024719354196427157
2032,F,26,0.0024719354196427157
2032,F,27,0.0024719354196427157
2032,F,28,0.0024719354196427157
2032,F,29,0.0024719354196427157
2032,F,30,0.0035660272672345685
2032,F,31,0.0035660272672345685
2032,F,32,0.0035660272672345685
2032,F,33,0.0035660272672345685
2032,F,34,0.0035660272672345685
2032,F,35,0.0046749261020902905
2032,F,36,0.0046749261020902905
2032,F,37,0.0046749261020902905
2032,F,38,0.0046749261020902905
2032,F,39,0.0046749261020902905
2032,F,40,0.006015946620493524
2032,F,41,0.006015946620493524
2032,F,42,0.006015946620493524
2032,F,43,0.006015946620493524
2032,F,44,0.006015946620493524
2032,F,45,0.007315378545698815
2032,F,46,0.007315378545698815
2032,F,47,0.007315378545698815
2032,F,48,0.007315378545698815
2032,F,49,0.007315378545698815
2032,F,50,0.009258846320443307
2032,F,51,0.009258846320443307
2032,F,52,0.009258846320443307
2032,F,53,0.009258846320443307
2032,F,54,0.009258846320443307
2032,F,55,0.012680852663583802
2032,F,56,0.012680852663583802
2032,F,57,0.012680852663583802
2032,F,58,0.012680852663583802
2032,F,59,0.012680852663583802
2032,F,60,0.017238336787775945
2032,F,61,0.017238336787775945
2032,F,62,0.017238336787775945
2032,F,63,0.017238336787775945
2032,F,64,0.017238336787775945
2032,F,65,0.025091786272350182
2032,F,66,0.025091786272350182
2032,F,67,0.025091786272350182
2032,F,68,0.025091786272350182
2032,F,69,0.025091786272350182
2032,F,70,0.035773624553513406
2032,F,71,0.035773624553513406
2032,F,72,0.035773624553513406
2032,F,73,0.035773624553513406
2032,F,74,0.035773624553513406
2032,F,75,0.05268002395608177
2032,F,76,0.05268002395608177
2032,F,77,0.05268002395608177
2032,F,78,0.05268002395608177
2032,F,79,0.05268002395608177
2032,F,80,0.07310642781079311
2032,F,81,0.07310642781079311
2032,F,82,0.07310642781079311
2032,F,83,0.07310642781079311
2032,F,84,0.07310642781079311
2032,F,85,0.10760993839095097
2032,F,86,0.10760993839095097
2032,F,87,0.10760993839095097
2032,F,88,0.10760993839095097
2032,F,89,0.10760993839095097
2032,F,90,0.15630017816062985
2032,F,91,0.15630017816062985
2032,F,92,0.15630017816062985
2032,F,93,0.15630017816062985
2032,F,94,0.15630017816062985
2032,F,95,0.22498863885558515
2032,F,96,0.22498863885558515
2032,F,97,0.22498863885558515
2032,F,98,0.22498863885558515
2032,F,99,0.22498863885558515
2032,F,100,0.22498863885558515
2032,M,0,0.02213518559634961
2032,M,1,0.0020512270973953085
2032,M,2,0.0020512270973953085
2032,M,3,0.0020512270973953085
2032,M,4,0.0020512270973953085
2032,M,5,5.181606468434938e-4
2032,M,6,5.181606468434938e-4
2032,M,7,5.181606468434938e-4
2032,M,8,5.181606468434938e-4
2032,M,9,5.181606468434938e-4
2032,M,10,5.705530536333781e-4
2032,M,11,5.705530536333781e-4
2032,M,12,5.705530536333781e-4
2032,M,13,5.705530536333781e-4
2032,M,14,5.705530536333781e-4
2032,M,15,0.0013612479981935778
2032,M,16,0.0013612479981935778
2032,M,17,0.0013612479981935778
2032,M,18,0.0013612479981935778
2032,M,19,0.0013612479981935778
2032,M,20,0.002639255829594812
2032,M,21,0.002639255829594812
2032,M,22,0.002639255829594812
2032,M,23,0.002639255829594812
2032,M,24,0.002639255829594812
2032,M,25,0.003997013547484996
2032,M,26,0.003997013547484996
2032,M,27,0.003997013547484996
2032,M,28,0.003997013547484996
2032,M,29,0.003997013547484996
2032,M,30,0.005337587184926796
2032,M,31,0.005337587184926796
2032,M,32,0.005337587184926796
2032,M,33,0.005337587184926796
2032,M,34,0.005337587184926796
2032,M,35,0.006910781848440348
2032,M,36,0.006910781848440348
2032,M,37,0.006910781848440348
2032,M,38,0.006910781848440348
2032,M,39,0.006910781848440348
2032,M,40,0.009023468349358608
2032,M,41,0.009023468349358608
2032,M,42,0.009023468349358608
2032,M,43,0.009023468349358608
2032,M,44,0.009023468349358608
2032,M,45,0.012230890180215743
2032,M,46,0.012230890180215743
2032,M,47,0.012230890180215743
2032,M,48,0.012230890180215743
2032,M,49,0.012230890180215743
2032,M,50,0.01668762645511904
2032,M,51,0.01668762645511904
2032,M,52,0.01668762645511904
2032,M,53,0.01668762645511904
2032,M,54,0.01668762645511904
2032,M,55,0.02285909834274779
2032,M,56,0.02285909834274779
2032,M,57,0.02285909834274779
2032,M,58,0.02285909834274779
2032,M,59,0.02285909834274779
2032,M,60,0.03095226191139667
2032,M,61,0.03095226191139667
2032,M,62,0.03095226191139667
2032,M,63,0.03095226191139667
2032,M,64,0.03095226191139667
2032,M,65,0.04254882020664848
2032,M,66,0.04254882020664848
2032,M,67,0.04254882020664848
2032,M,68,0.04254882020664848
2032,M,69,0.04254882020664848
2032,M,70,0.05577603791830101
2032,M,71,0.05577603791830101
2032,M,72,0.05577603791830101
2032,M,73,0.05577603791830101
2032,M,74,0.05577603791830101
2032,M,75,0.0751910089836852
2032,M,76,0.0751910089836852
2032,M,77,0.0751910089836852
2032,M,78,0.0751910089836852
2032,M,79,0.0751910089836852
2032,M,80,0.09359835008636634
2032,M,81,0.09359835008636634
2032,M,82,0.09359835008636634
2032,M,83,0.09359835008636634
2032,M,84,0.09359835008636634
2032,M,85,0.12765931597913155
2032,M,86,0.12765931597913155
2032,M,87,0.12765931597913155
2032,M,88,0.12765931597913155
2032,M,89,0.12765931597913155
2032,M,90,0.1688285286647865
2032,M,91,0.1688285286647865
2032,M,92,0.1688285286647865
